MQ2,MQ7,Flame,isFlame
99,80,959,0
71,87,685,1
80,96,366,1
77,93,82,1
79,92,82,1
74,91,327,1
76,299,963,1
114,86,954,1
132,82,956,1
104,87,957,1
97,97,968,0
69,80,969,0
78,96,971,0
74,100,681,1
104,81,958,1
78,115,949,0
98,90,956,0
90,346,954,1
100,93,944,0
80,93,85,1
104,91,945,1
122,93,952,1
100,100,965,0
91,340,923,1
73,85,960,0
78,87,84,1
99,85,954,0
100,81,953,0
84,266,950,1
97,92,967,0
84,134,947,0
77,120,943,0
99,91,945,0
79,123,963,0
131,91,958,1
88,228,948,0
101,90,953,1
133,86,952,1
73,86,553,1
99,86,958,0
127,97,957,1
79,92,387,1
99,82,949,0
97,81,951,0
96,85,958,0
123,81,950,1
103,91,965,1
105,102,964,1
108,87,957,1
84,165,948,0
79,296,968,1
99,81,957,0
100,84,956,0
96,396,947,1
99,81,956,0
78,89,81,1
71,82,341,1
75,85,971,0
118,88,953,1
99,96,936,0
74,113,969,0
80,94,90,1
75,84,968,0
86,264,949,1
85,140,969,0
98,85,959,0
80,139,79,1
115,95,961,1
73,211,968,0
117,85,947,1
97,97,968,0
100,89,959,0
98,84,959,0
116,79,951,1
73,149,969,0
78,96,963,0
105,83,956,1
99,91,942,0
73,299,966,1
93,291,947,1
79,85,675,1
90,103,963,0
79,82,554,1
121,94,947,1
100,80,954,0
77,81,547,1
116,91,957,1
123,83,948,1
101,87,958,1
113,91,951,1
97,95,968,0
77,84,516,1
79,80,672,1
96,82,957,0
75,84,285,1
75,87,282,1
74,113,969,0
115,87,953,1
78,299,969,1
89,337,948,1
99,81,959,0
124,97,953,1
98,80,952,0
73,85,960,0
107,85,960,1
80,139,78,1
106,106,961,1
122,87,958,1
80,99,678,1
80,81,689,1
98,83,954,0
98,98,967,0
97,98,967,0
97,90,965,0
81,130,956,0
121,103,955,1
97,84,952,0
70,80,346,1
75,84,973,0
98,95,958,0
77,95,85,1
79,84,676,1
76,101,969,0
84,102,77,1
100,87,951,0
134,87,952,1
97,98,967,0
69,80,970,0
85,96,77,1
118,86,954,1
93,337,955,1
74,82,960,0
107,85,959,1
99,102,967,0
98,98,967,0
112,89,954,1
98,94,964,0
75,90,384,1
100,97,966,0
96,343,946,1
78,99,963,0
87,394,947,1
100,91,957,0
97,93,958,0
115,89,956,1
70,82,520,1
77,113,945,0
117,80,952,1
102,100,959,1
100,80,959,0
77,99,672,1
98,92,958,0
100,87,951,0
71,274,971,1
100,86,955,0
86,136,80,1
84,292,953,1
77,93,85,1
84,140,80,1
75,86,686,1
103,86,955,1
99,87,957,0
121,86,950,1
102,100,943,1
100,100,965,0
75,269,974,1
85,167,949,0
87,213,948,0
82,118,946,0
79,147,963,0
98,87,956,0
74,113,969,0
128,90,952,1
80,90,127,1
74,96,82,1
100,86,955,0
100,89,949,0
74,97,84,1
99,94,962,0
